ranking,player_image,name,position,age,nation_image,nation,team_image,team,value
19,https://img.a.transfermarkt.technology/portrait/small/326330-1599987876.jpg?lm=1,Frenkie de Jong,Central Midfield,23,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Netherlands,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€80.00m
20,https://img.a.transfermarkt.technology/portrait/small/28003-1604164452.png?lm=1,Lionel Messi,Right Winger,33,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Argentina,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€80.00m
21,https://img.a.transfermarkt.technology/portrait/small/424204-1570372661.jpg?lm=1,Alphonso Davies,Left-Back,20,https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569,Canada,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€75.00m
22,https://img.a.transfermarkt.technology/portrait/small/326031-1568111537.jpg?lm=1,Matthijs de Ligt,Centre-Back,21,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Netherlands,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€75.00m
23,https://img.a.transfermarkt.technology/portrait/small/108390-1572942947.jpg?lm=1,Thibaut Courtois,Goalkeeper,28,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Belgium,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€75.00m
24,https://img.a.transfermarkt.technology/portrait/small/74857-1599987750.jpg?lm=1,Marc-André ter Stegen,Goalkeeper,29,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€75.00m
25,https://img.a.transfermarkt.technology/portrait/small/683840-1609752733.jpg?lm=1,Pedri,Attacking Midfield,18,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€70.00m
26,https://img.a.transfermarkt.technology/portrait/small/406635-1594986905.jpg?lm=1,Phil Foden,Central Midfield,20,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€70.00m
27,https://img.a.transfermarkt.technology/portrait/small/406625-1535015019.jpg?lm=1,Lautaro Martínez,Centre-Forward,23,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Argentina,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€70.00m
28,https://img.a.transfermarkt.technology/portrait/small/369081-1581501132.jpg?lm=1,Federico Valverde,Central Midfield,22,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,Uruguay,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€70.00m
29,https://img.a.transfermarkt.technology/portrait/small/357565-1556022958.jpg?lm=1,Rodri,Defensive Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€70.00m
30,https://img.a.transfermarkt.technology/portrait/small/351478-1599987229.jpg?lm=1,Mikel Oyarzabal,Left Winger,24,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/681.png?lm=1614795530,Real Sociedad,€70.00m
31,https://img.a.transfermarkt.technology/portrait/small/309400-1507380300.jpg?lm=1,Kai Havertz,Attacking Midfield,21,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,Chelsea FC,€70.00m
32,https://img.a.transfermarkt.technology/portrait/small/282411-1603712126.jpg?lm=1,Marcos Llorente,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€70.00m
33,https://img.a.transfermarkt.technology/portrait/small/266302-1594714732.jpg?lm=1,Sergej Milinković-Savić,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569,Serbia,https://tmssl.akamaized.net/images/wappen/verysmall/398.png?lm=1601537785,SS Lazio,€70.00m
34,https://img.a.transfermarkt.technology/portrait/small/258004-1572340728.jpg?lm=1,Rúben Dias,Centre-Back,23,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€70.00m
35,https://img.a.transfermarkt.technology/portrait/small/241641-1520189140.jpg?lm=1,Bernardo Silva,Attacking Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€70.00m
36,https://img.a.transfermarkt.technology/portrait/small/234803-1559827085.jpg?lm=1,Andrew Robertson,Left-Back,27,https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569,Scotland,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€70.00m
37,https://img.a.transfermarkt.technology/portrait/small/192565-1609919571.jpg?lm=1,Leroy Sané,Right Winger,25,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€70.00m
38,https://img.a.transfermarkt.technology/portrait/small/181767-1602508054.jpg?lm=1,Marquinhos,Centre-Back,26,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€70.00m
39,https://img.a.transfermarkt.technology/portrait/small/164770-1598301905.jpg?lm=1,Raphaël Varane,Centre-Back,28,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€70.00m
40,https://img.a.transfermarkt.technology/portrait/small/159471-1570373116.jpg?lm=1,Serge Gnabry,Right Winger,25,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€70.00m
41,https://img.a.transfermarkt.technology/portrait/small/153084-1540568530.jpg?lm=1,Leon Goretzka,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€70.00m
42,https://img.a.transfermarkt.technology/portrait/small/139208-1519830937.jpg?lm=1,Virgil van Dijk,Centre-Back,29,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Netherlands,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€70.00m
43,https://img.a.transfermarkt.technology/portrait/small/16306-1454413595.jpg?lm=1,Casemiro,Defensive Midfield,29,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€70.00m
44,https://img.a.transfermarkt.technology/portrait/small/243714-1540568692.jpg?lm=1,Kingsley Coman,Left Winger,24,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€65.00m
45,https://img.a.transfermarkt.technology/portrait/small/170527-1471002206.jpg?lm=1,Timo Werner,Centre-Forward,25,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,Chelsea FC,€65.00m
46,https://img.a.transfermarkt.technology/portrait/small/105470-1595945929.jpg?lm=1,Alisson,Goalkeeper,28,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€65.00m
47,https://img.a.transfermarkt.technology/portrait/small/640428-1582629458.jpg?lm=1,Eduardo Camavinga,Central Midfield,18,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/273.png?lm=1408779098,Stade Rennais FC,€60.00m
48,https://img.a.transfermarkt.technology/portrait/small/433177-1582630395.jpg?lm=1,Bukayo Saka,Right Winger,19,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/11.png?lm=1489787850,Arsenal FC,€60.00m
49,https://img.a.transfermarkt.technology/portrait/small/411975-1525683142.jpg?lm=1,Jules Koundé,Centre-Back,22,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/368.png?lm=1408655455,Sevilla FC,€60.00m
50,https://img.a.transfermarkt.technology/portrait/small/378710-1575040968.jpg?lm=1,Richarlison,Left Winger,23,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/29.png?lm=1445949846,Everton FC,€60.00m
51,https://img.a.transfermarkt.technology/portrait/small/363205-1533284263.jpg?lm=1,Gabriel Jesus,Centre-Forward,24,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€60.00m
52,https://img.a.transfermarkt.technology/portrait/small/357662-1512663772.jpg?lm=1,Declan Rice,Defensive Midfield,22,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/379.png?lm=1464675260,West Ham United,€60.00m
53,https://img.a.transfermarkt.technology/portrait/small/346483-1563203695.jpg?lm=1,Mason Mount,Attacking Midfield,22,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,Chelsea FC,€60.00m
54,https://img.a.transfermarkt.technology/portrait/small/344695-1532352602.jpg?lm=1,Dayot Upamecano,Centre-Back,22,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/23826.png?lm=1619431624,RB Leipzig,€60.00m
55,https://img.a.transfermarkt.technology/portrait/small/341092-1596098386.jpg?lm=1,Federico Chiesa,Right Winger,23,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€60.00m
56,https://img.a.transfermarkt.technology/portrait/small/315858-1564832017.jpg?lm=1,Gianluigi Donnarumma,Goalkeeper,22,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,AC Milan,€60.00m
57,https://img.a.transfermarkt.technology/portrait/small/294057-1538664596.jpg?lm=1,James Maddison,Attacking Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,Leicester City,€60.00m
58,https://img.a.transfermarkt.technology/portrait/small/255942-1582023619.jpg?lm=1,Nicolò Barella,Central Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€60.00m
59,https://img.a.transfermarkt.technology/portrait/small/250845-1447152624.jpg?lm=1,José María Giménez,Centre-Back,26,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,Uruguay,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€60.00m
60,https://img.a.transfermarkt.technology/portrait/small/225693-1580133493.jpg?lm=1,Fabinho,Defensive Midfield,27,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€60.00m
61,https://img.a.transfermarkt.technology/portrait/small/206050-1541076083.jpg?lm=1,Paulo Dybala,Second Striker,27,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Argentina,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€60.00m
62,https://img.a.transfermarkt.technology/portrait/small/203460-1581417066.jpg?lm=1,Jack Grealish,Left Winger,25,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/405.png?lm=1469443765,Aston Villa,€60.00m
63,https://img.a.transfermarkt.technology/portrait/small/125781-1564143733.jpg?lm=1,Antoine Griezmann,Second Striker,30,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€60.00m
64,https://img.a.transfermarkt.technology/portrait/small/122153-1582114937.jpg?lm=1,Paul Pogba,Central Midfield,28,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,Manchester United,€60.00m
65,https://img.a.transfermarkt.technology/portrait/small/102558-1602849501.jpg?lm=1,Marco Verratti,Central Midfield,28,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€60.00m
66,https://img.a.transfermarkt.technology/portrait/small/74229-1447152736.jpg?lm=1,Koke,Central Midfield,29,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€60.00m
67,https://img.a.transfermarkt.technology/portrait/small/38253-1540568609.jpg?lm=1,Robert Lewandowski,Centre-Forward,32,https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569,Poland,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€60.00m
68,https://img.a.transfermarkt.technology/portrait/small/238223-1474545573.jpg?lm=1,Ederson,Goalkeeper,27,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€56.00m
69,https://img.a.transfermarkt.technology/portrait/small/315853-1511780680.jpg?lm=1,Alessandro Bastoni,Centre-Back,22,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€55.00m
70,https://img.a.transfermarkt.technology/portrait/small/249565-1484838905.jpg?lm=1,Youri Tielemans,Central Midfield,23,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Belgium,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,Leicester City,€55.00m
71,https://img.a.transfermarkt.technology/portrait/small/225083-1598302373.jpg?lm=1,N'Golo Kanté,Central Midfield,30,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,Chelsea FC,€55.00m
72,https://img.a.transfermarkt.technology/portrait/small/204069-1598256813.jpg?lm=1,Milan Skriniar,Centre-Back,26,https://tmssl.akamaized.net/images/flagge/verysmall/154.png?lm=1520611569,Slovakia,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€55.00m
73,https://img.a.transfermarkt.technology/portrait/small/148928-1447152836.jpg?lm=1,Saúl Ñíguez,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€55.00m
74,https://img.a.transfermarkt.technology/portrait/small/131789-1520605270.jpg?lm=1,Roberto Firmino,Centre-Forward,29,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€55.00m
75,https://img.a.transfermarkt.technology/portrait/small/111196-1593165111.jpg?lm=1,Stefan de Vrij,Centre-Back,29,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Netherlands,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€55.00m
76,https://img.a.transfermarkt.technology/portrait/small/68863-1591599151.jpg?lm=1,Mauro Icardi,Centre-Forward,28,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Argentina,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€55.00m
77,https://img.a.transfermarkt.technology/portrait/small/59016-1540568208.jpg?lm=1,David Alaba,Centre-Back,28,https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569,Austria,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€55.00m
78,https://img.a.transfermarkt.technology/portrait/small/532826-1594986623.jpg?lm=1,Mason Greenwood,Right Winger,19,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,Manchester United,€50.00m
79,https://img.a.transfermarkt.technology/portrait/small/450936-1561540648.jpg?lm=1,Tanguy Ndombélé,Central Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,Tottenham Hotspur,€50.00m
80,https://img.a.transfermarkt.technology/portrait/small/401923-1570439308.jpg?lm=1,Victor Osimhen,Centre-Forward,22,https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569,Nigeria,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€50.00m
81,https://img.a.transfermarkt.technology/portrait/small/399776-1568023168.jpg?lm=1,Pau Torres,Centre-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/1050.png?lm=1408655310,Villarreal CF,€50.00m
82,https://img.a.transfermarkt.technology/portrait/small/398184-1522825816.jpg?lm=1,Ferran Torres,Right Winger,21,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€50.00m
83,https://img.a.transfermarkt.technology/portrait/small/398073-1534235948.jpg?lm=1,Achraf Hakimi,Right Midfield,22,https://tmssl.akamaized.net/images/flagge/verysmall/107.png?lm=1520611569,Morocco,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€50.00m
84,https://img.a.transfermarkt.technology/portrait/small/395693-1510155387.jpg?lm=1,Houssem Aouar,Central Midfield,22,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/1041.png?lm=1581024966,Olympique Lyon,€50.00m
85,https://img.a.transfermarkt.technology/portrait/small/362842-1599988056.jpg?lm=1,Arthur,Central Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€50.00m
86,https://img.a.transfermarkt.technology/portrait/small/339808-1595938750.jpg?lm=1,Theo Hernández,Left-Back,23,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,AC Milan,€50.00m
87,https://img.a.transfermarkt.technology/portrait/small/329145-1568022060.jpg?lm=1,Diego Carlos,Centre-Back,28,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/368.png?lm=1408655455,Sevilla FC,€50.00m
88,https://img.a.transfermarkt.technology/portrait/small/316125-1469615445.jpg?lm=1,Ben Chilwell,Left-Back,24,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,Chelsea FC,€50.00m
89,https://img.a.transfermarkt.technology/portrait/small/315779-1534236289.jpg?lm=1,Christian Pulisic,Right Winger,22,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,United States,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,Chelsea FC,€50.00m
90,https://img.a.transfermarkt.technology/portrait/small/294808-1594276547.jpg?lm=1,Franck Kessié,Central Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569,Cote d'Ivoire,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,AC Milan,€50.00m
91,https://img.a.transfermarkt.technology/portrait/small/291417-1479731632.jpg?lm=1,Ferland Mendy,Left-Back,25,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€50.00m
92,https://img.a.transfermarkt.technology/portrait/small/288230-1561038993.jpg?lm=1,Ousmane Dembélé,Right Winger,23,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€50.00m
93,https://img.a.transfermarkt.technology/portrait/small/274839-1601316687.jpg?lm=1,Wilfred Ndidi,Defensive Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569,Nigeria,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,Leicester City,€50.00m
94,https://img.a.transfermarkt.technology/portrait/small/225161-1445515680.jpg?lm=1,Rúben Neves,Defensive Midfield,24,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/543.png?lm=1467496784,Wolverhampton Wanderers,€50.00m
95,https://img.a.transfermarkt.technology/portrait/small/182877-1595947846.jpg?lm=1,Anthony Martial,Centre-Forward,25,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,Manchester United,€50.00m
96,https://img.a.transfermarkt.technology/portrait/small/182712-1615221629.jpg?lm=1,João Cancelo,Right-Back,26,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€50.00m
97,https://img.a.transfermarkt.technology/portrait/small/176553-1564994239.jpg?lm=1,Aymeric Laporte,Centre-Back,26,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€50.00m
98,https://img.a.transfermarkt.technology/portrait/small/128223-1523366908.jpg?lm=1,Álvaro Morata,Centre-Forward,28,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€50.00m
99,https://img.a.transfermarkt.technology/portrait/small/128220-1594715012.jpg?lm=1,Luis Alberto,Attacking Midfield,28,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/398.png?lm=1601537785,SS Lazio,€50.00m
100,https://img.a.transfermarkt.technology/portrait/small/93128-1448528991.jpg?lm=1,Kalidou Koulibaly,Centre-Back,29,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,Senegal,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€50.00m
101,https://img.a.transfermarkt.technology/portrait/small/31909-1519743952.jpg?lm=1,Toni Kroos,Central Midfield,31,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€50.00m
102,https://img.a.transfermarkt.technology/portrait/small/8198-1568120625.jpg?lm=1,Cristiano Ronaldo,Left Winger,36,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€50.00m
103,https://img.a.transfermarkt.technology/portrait/small/133964-1537708558.jpg?lm=1,Lorenzo Insigne,Left Winger,29,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€48.00m
104,https://img.a.transfermarkt.technology/portrait/small/181136-1596002218.jpg?lm=1,Piotr Zielinski,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569,Poland,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€46.00m
105,https://img.a.transfermarkt.technology/portrait/small/598577-1601640348.jpg?lm=1,Florian Wirtz,Attacking Midfield,18,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/15.png?lm=1403163785,Bayer 04 Leverkusen,€45.00m
106,https://img.a.transfermarkt.technology/portrait/small/431755-1577956318.jpg?lm=1,Dejan Kulusevski,Right Winger,21,https://tmssl.akamaized.net/images/flagge/verysmall/147.png?lm=1520611569,Sweden,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€45.00m
107,https://img.a.transfermarkt.technology/portrait/small/412363-1547642877.jpg?lm=1,Rodrygo,Right Winger,20,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,Real Madrid,€45.00m
108,https://img.a.transfermarkt.technology/portrait/small/392085-1550050645.jpg?lm=1,Nicolò Zaniolo,Attacking Midfield,21,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Italy,https://tmssl.akamaized.net/images/wappen/verysmall/12.png?lm=1533302889,AS Roma,€45.00m
109,https://img.a.transfermarkt.technology/portrait/small/316889-1536655850.jpg?lm=1,Hirving Lozano,Right Winger,25,https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569,Mexico,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€45.00m
110,https://img.a.transfermarkt.technology/portrait/small/306024-1601540523.jpg?lm=1,Dominic Calvert-Lewin,Centre-Forward,24,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/29.png?lm=1445949846,Everton FC,€45.00m
